Title,Console,Genre,Publisher,Critic_Score,Total_Sales,NA_Sales,JP_Sales,PAL_Sales,Other_Sales,Release_Date
Twisted Metal 2,PS,Racing,Sony Computer Entertainment,8.7,2.44,2.12,,0.25,0.07,10/31/1996
uDraw Studio,Wii,Misc,THQ,,2.44,1.65,,0.58,0.21,11/14/2010
The Sims: Bustin' Out,PS2,Simulation,Electronic Arts,,2.43,1.07,,1.19,0.18,12/15/2003
Tom Clancy's Rainbow Six: Vegas 2,X360,Shooter,Ubisoft,8.2,2.42,1.56,0.02,0.61,0.23,3/18/2008
Sonic Adventure,DC,Platform,Sega,8.9,2.42,1.26,0.46,0.61,0.08,9/9/1999
Need for Speed Carbon: Own the City,PSP,Racing,Electronic Arts,7.4,2.42,0.87,,0.97,0.58,10/31/2006
Halo: Combat Evolved Anniversary,X360,Shooter,Microsoft Studios,8,2.41,1.44,0.04,0.71,0.22,11/15/2011
Kinect: Disneyland Adventures,X360,Action-Adv,Microsoft Studios,8.5,2.41,1.73,0.02,0.43,0.23,11/15/2011
Need for Speed: ProStreet,PS2,Racing,Electronic Arts,,2.41,0.69,0.04,0,1.68,11/13/2007
Pro Evolution Soccer 2011,PS3,Sports,Konami,6,2.41,0.29,0.54,1.18,0.41,10/5/2010
NBA 2K16,XOne,Sports,2K Sports,8.3,2.41,2.01,,0.15,0.25,9/29/2015
ATV Offroad Fury,PS2,Racing,Sony Computer Entertainment,8.4,2.41,2.07,,0.26,0.08,2/5/2001
Forza Motorsport 5,XOne,Racing,Microsoft Studios,,2.4,1.28,0.01,0.9,0.21,11/22/2013
Batman: Arkham Origins,PS3,Action-Adv,Warner Bros. Interactive Entertainment,,2.4,1.08,0.04,0.88,0.4,10/25/2013
Midnight Club: Los Angeles,X360,Racing,Rockstar Games,8,2.4,1.72,0.01,0.45,0.22,10/20/2008
Tetris Plus,PS,Puzzle,Jaleco,,2.4,2.1,,0.24,0.07,10/18/1996
Madden NFL 11,PS3,Sports,EA Sports,8.4,2.4,2.05,,0.15,0.2,8/10/2010
Theme Hospital,PC,Strategy,Electronic Arts,5.5,2.4,2.3,,0.1,,3/31/1997
Zumba Fitness,X360,Sports,Majesco,,2.39,1.74,,0.45,0.2,11/18/2010
Frogger's Adventures: Temple of the Frog,GBA,Adventure,Konami,6.7,2.39,2.15,,0.18,0.07,10/24/2001
Monopoly,PC,Misc,Hasbro Interactive,,2.39,1.49,,0.81,0.1,1/1/1995
Mortal Kombat II (US & Others sales),GEN,Fighting,Acclaim Entertainment,,2.39,1.78,,0.53,0.08,1/1/1994
Dead Island,X360,Action,Deep Silver,7,2.38,1.48,,0.7,0.21,9/6/2011
WCW/nWo Revenge,N64,Fighting,THQ,,2.38,1.94,0.03,0.39,0.02,10/26/1998
The Incredibles,PS2,Action,THQ,5.9,2.37,0.96,0.04,1.08,0.3,10/31/2004
Madden NFL 10,PS3,Sports,EA Sports,8.5,2.37,2.03,,0.13,0.21,8/14/2009
Madden NFL 08,X360,Sports,EA Sports,8.7,2.37,2.18,,0.01,0.18,8/14/2007
Tony Hawk's Underground 2,PS2,Sports,Activision,,2.37,1.25,0.01,0.86,0.26,10/4/2004
Sonic's Ultimate Genesis Collection,PS3,Misc,Sega,8.1,2.36,1.39,,0.64,0.33,2/10/2009
Destiny 2,XOne,Shooter,Activision,,2.35,1.66,,0.47,0.23,9/6/2017
LEGO Indiana Jones: The Original Adventures,Wii,Adventure,LucasArts,7.8,2.35,1.51,,0.62,0.22,6/3/2008
Lego Marvel Super Heroes,X360,Action,Warner Bros. Interactive Entertainment,,2.34,1.26,,0.87,0.21,10/22/2013
WWE SmackDown vs Raw 2008,PS2,Fighting,THQ,,2.34,0.92,0.01,0,1.41,11/13/2007
Dragon Age: Inquisition,PS4,RPG,Electronic Arts,8.6,2.34,1.07,0.08,0.8,0.38,11/18/2014
Kinect Sports: Season Two,X360,Sports,Microsoft Studios,6.6,2.33,1.38,0.02,0.72,0.21,10/25/2011
Madden NFL 25,X360,Sports,EA Sports,7.8,2.33,2.02,,0.07,0.25,8/27/2013
Grand Theft Auto,PS,Action,Take-Two Interactive,6,2.32,0.79,0.04,1.35,0.14,6/30/1998
My Fitness Coach,Wii,Sports,Ubisoft,7.1,2.32,1.18,,0.9,0.24,12/2/2008
